FULL NAME,Email Id,Age,Gender,Address,Phone No,Program/Project,Volunteer Role,Donation Amount,Membership Status
Aarav Sharma,aarav.sharma45@gmail.com,24 years old,Male,"123, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",9.18369E+11,Education Support Program,Teacher,"INR 5,732.00",Member
Rhea Patel,rhea.patel29@yahoo.com,29 years old,Female,"45, Mahaveer Road, Varanasi, Uttar Pradesh - 221002",9.19547E+11,Health Clinic Outreach,Project Manager,"INR 3,421.00",Member
Zoya Kumar,zoya.kumar88@gmail.com,22 years old,Female,"78, Aminabad Road, Lucknow, Uttar Pradesh - 226018",9.18295E+11,Food Distribution Initiative,Mentor,"INR 17,589.00",Member
Veer Singh,veer.singh76@yahoo.com,26 years old,Male,"32, Station Road, Kanpur, Uttar Pradesh - 208001",9.18954E+11,Clean Water Project,Health Educator,"INR 1,243.00",Member
Anaya Joshi,anaya.joshi52@gmail.com,25 years old,Female,"17, Civil Lines, Agra, Uttar Pradesh - 282002",9.18124E+11,Youth Empowerment Program,Event Coordinator,"INR 56,890.00",Member
Reyaan Chauhan,reyaan.chauhan11@yahoo.com,27 years old,Male,"56, Ashok Nagar, Allahabad, Uttar Pradesh - 211003",9.19372E+11,Women's Empowerment Initiative,Fundraiser,"INR 2,356.00",Member
Myra Kapoor,myra.kapoor64@gmail.com,28 years old,Female,"90, Nishatganj, Lucknow, Uttar Pradesh - 226007",9.18493E+11,Environmental Conservation Project,Web Developer,"INR 8,765.00",Member
Ayaan Verma,ayaan.verma33@yahoo.com,30 years old,Male,"22, Sardar Patel Marg, Gorakhpur, Uttar Pradesh - 273001",9.19128E+11,Skills Training Workshop,Graphic Designer,"INR 1,234.00",Member
Kyra Khanna,kyra.khanna22@gmail.com,25 years old,Female,"11, M.G. Road, Meerut, Uttar Pradesh - 250001",9.18692E+11,Orphanage Support Program,Social Media Manager,"INR 12,478.00",Member
Ishaan Mehta,ishaan.mehta57@yahoo.com,28 years old,Male,"34, Rajpur Road, Dehradun, Uttar Pradesh - 248001",9.19815E+11,Rural Development Project,Content Writer,INR 965.00,Member
Avani Gupta,avani.gupta91@gmail.com,29 years old,Female,"67, Civil Lines, Moradabad, Uttar Pradesh - 244001",9.18921E+11,Literacy and Numeracy Classes,Research Assistant,"INR 34,567.00",Member
