,FULL NAME,Email Id,Age,Gender,Address,Phone No,Program/Project,Volunteer Role,Donation Amount,Membership Status
0,Harsh Vardhan,aarav.sharma45@gmail.com,24 years old,Male,"123, Gomti Nagar, Lucknow, Uttar Pradesh - 226010",918369000000.0,Education Support Program,Teacher,"INR 5,732.00",Member
1,Rhea Patel,rhea.patel29@yahoo.com,29 years old,Female,"45, Mahaveer Road, Varanasi, Uttar Pradesh - 221002",919547000000.0,Health Clinic Outreach,Project Manager,"INR 3,421.00",Member
2,Zoya Kumar,zoya.kumar88@gmail.com,22 years old,Female,"78, Aminabad Road, Lucknow, Uttar Pradesh - 226018",918295000000.0,Food Distribution Initiative,Mentor,"INR 17,589.00",Member
3,Veer Singh,veer.singh76@yahoo.com,26 years old,Male,"32, Station Road, Kanpur, Uttar Pradesh - 208001",918954000000.0,Clean Water Project,Health Educator,"INR 1,243.00",Member
4,Anaya Joshi,anaya.joshi52@gmail.com,25 years old,Female,"17, Civil Lines, Agra, Uttar Pradesh - 282002",918124000000.0,Youth Empowerment Program,Event Coordinator,"INR 56,890.00",Member
5,Reyaan Chauhan,reyaan.chauhan11@yahoo.com,27 years old,Male,"56, Ashok Nagar, Allahabad, Uttar Pradesh - 211003",919372000000.0,Women's Empowerment Initiative,Fundraiser,"INR 2,356.00",Member
6,Myra Kapoor,myra.kapoor64@gmail.com,28 years old,Female,"90, Nishatganj, Lucknow, Uttar Pradesh - 226007",918493000000.0,Environmental Conservation Project,Web Developer,"INR 8,765.00",Member
7,Ayaan Verma,ayaan.verma33@yahoo.com,30 years old,Male,"22, Sardar Patel Marg, Gorakhpur, Uttar Pradesh - 273001",919128000000.0,Skills Training Workshop,Graphic Designer,"INR 1,234.00",Member
8,Kyra Khanna,kyra.khanna22@gmail.com,25 years old,Female,"11, M.G. Road, Meerut, Uttar Pradesh - 250001",918692000000.0,Orphanage Support Program,Social Media Manager,"INR 12,478.00",Member
9,Ishaan Mehta,ishaan.mehta57@yahoo.com,28 years old,Male,"34, Rajpur Road, Dehradun, Uttar Pradesh - 248001",919815000000.0,Rural Development Project,Content Writer,INR 965.00,Member
10,Avani Gupta,avani.gupta91@gmail.com,29 years old,Female,"67, Civil Lines, Moradabad, Uttar Pradesh - 244001",918921000000.0,Literacy and Numeracy Classes,Research Assistant,"INR 34,567.00",Member
11,Arjun Kumar,arjun.kumar18@yahoo.com,24 years old,Male,"41, Chowk Bazaar, Bareilly, Uttar Pradesh - 243003",918765000000.0,Maternal and Child Health Program,Volunteer Coordinator,"INR 2,342.00",Non-Member
12,Kiara Sharma,kiara.sharma75@gmail.com,22 years old,Female,"54, Mall Road, Kanpur, Uttar Pradesh - 208001",919543000000.0,Microfinance and Entrepreneurship Project,Youth Counselor,"INR 5,678.00",Member
13,Arya Singh,arya.singh42@yahoo.com,26 years old,Male,"76, Kailashpuri, Varanasi, Uttar Pradesh - 221002",918932000000.0,Disaster Relief and Recovery Efforts,Translator/Interpreter,INR 123.00,Member
14,Aryan Malhotra,aryan.malhotra68@gmail.com,27 years old,Male,"29, Ram Bagh, Agra, Uttar Pradesh - 282004",919264000000.0,Community Sanitation Campaign,Environmental Activist,"INR 45,678.00",Member
15,Saanvi Kapoor,saanvi.kapoor29@yahoo.com,23 years old,Female,"88, Nainital Road, Haldwani, Uttar Pradesh - 263139",918419000000.0,Empowerment of Persons with Disabilities,Legal Advisor,"INR 9,876.00",Member
16,Arnav Khanna,arnav.khanna57@gmail.com,31 years old,Male,"15, Alambagh, Lucknow, Uttar Pradesh - 226005",919657000000.0,Agriculture and Farming Training,Marketing Specialist,"INR 3,210.00",Member
17,Aadhya Verma,aadhya.verma47@yahoo.com,30 years old,Female,"61, Civil Lines, Allahabad, Uttar Pradesh - 211001",918396000000.0,Vocational Training for Youths,Financial Analyst,"INR 78,543.00",Member
18,Kiaan Patel,kiaan.patel76@gmail.com,25 years old,Male,"39, Mall Avenue, Lucknow, Uttar Pradesh - 226001",919872000000.0,Refugee Assistance Program,Program Evaluator,INR 543.00,Member
19,Tara Sharma,tara.sharma84@yahoo.com,29 years old,Female,"73, Rajendra Nagar, Gorakhpur, Uttar Pradesh - 273001",919123000000.0,Elderly Care and Support,Nutritionist,"INR 23,456.00",Non-Member
20,Vivaan Chauhan,vivaan.chauhan62@gmail.com,27 years old,Male,"24, Lajpat Nagar, Kanpur, Uttar Pradesh - 208005",918297000000.0,HIV/AIDS Awareness and Prevention,Community Organizer,"INR 1,234.00",Member
21,Suhana Joshi,suhana.joshi38@yahoo.com,28 years old,Female,"48, Civil Lines, Meerut, Uttar Pradesh - 250001",918954000000.0,School Infrastructure Improvement,Data Entry Specialist,"INR 15,678.00",Member
22,Aarohi Mehta,aarohi.mehta96@gmail.com,23 years old,Female,"36, Daryaganj, Agra, Uttar Pradesh - 282002",918432000000.0,Nutritional Support for Children,Grant Writer,INR 345.00,Member
23,Dhruv Verma,dhruv.verma15@yahoo.com,26 years old,Male,"52, Lal Kurti, Dehradun, Uttar Pradesh - 248001",919782000000.0,Empowerment of Indigenous Communities,Photographer/Videographer,"INR 7,890.00",Member
24,Eshaan Gupta,eshaan.gupta23@gmail.com,24 years old,Female,"19, Ashok Vihar, Moradabad, Uttar Pradesh - 244001",919163000000.0,Clean Energy Adoption Project,Crisis Intervention Specialist,INR 234.00,Member
25,Anvi Khanna,anvi.khanna53@yahoo.com,25 years old,Male,"33, Gandhi Road, Bareilly, Uttar Pradesh - 243001",918295000000.0,Mental Health and Counseling Services,Public Relations Specialist,"INR 5,432.00",Member
26,Aaryan Kapoor,aaryan.kapoor49@gmail.com,30 years old,Female,"65, Nirala Nagar, Kanpur, Uttar Pradesh - 208014",919452000000.0,Mobile Health Clinics,IT Support,"INR 1,000.00",Member
27,Siya Kumar,siya.kumar17@yahoo.com,28 years old,Male,"21, Jawaharlal Road, Varanasi, Uttar Pradesh - 221002",918942000000.0,Technology Access Program,Occupational Therapist,"INR 8,765.00",Member
28,Vihaan Sharma,vihaan.sharma62@gmail.com,27 years old,Female,"42, Civil Lines, Lucknow, Uttar Pradesh - 226001",918672000000.0,Gender Equality and Women's Rights,Childcare Provider,"INR 2,134.00",Member
29,Kiyaan Joshi,kiyaan.joshi73@yahoo.com,25 years old,Male,"71, Vidhan Sabha Marg, Lucknow, Uttar Pradesh - 226001",919126000000.0,Street Children Rehabilitation,Human Resources Manager,"INR 19,876.00",Member
30,Kavya Malhotra,kavya.malhotra59@gmail.com,29 years old,Female,"28, Subhash Road, Allahabad, Uttar Pradesh - 211003",918392000000.0,Disaster Preparedness Workshops,Event Planner,"INR 3,000.00",Member
31,Rudra Chauhan,rudra.chauhan84@yahoo.com,23 years old,Male,"54, Raj Bhavan Road, Lucknow, Uttar Pradesh - 226001",919854000000.0,Safe Drinking Water Initiative,Music Teacher,"INR 4,567.00",Non-Member
32,Risha Kapoor,risha.kapoor98@gmail.com,30 years old,Female,"18, Connaught Place, Kanpur, Uttar Pradesh - 208001",918744000000.0,Vocational Training for Women,Speech Therapist,"INR 23,456.00",Member
33,Reeva Verma,reeva.verma64@yahoo.com,26 years old,Male,"47, Mall Road, Moradabad, Uttar Pradesh - 244001",919162000000.0,Homeless Shelter and Rehabilitation,Archaeologist,"INR 1,000.00",Member
34,Aanya Khanna,aanya.khanna76@gmail.com,24 years old,Female,"26, M.G. Road, Agra, Uttar Pradesh - 282001",918295000000.0,Community Garden Project,Eco-Friendly Architect,"INR 3,456.00",Member
35,Vihan Patel,vihan.patel15@yahoo.com,27 years old,Male,"60, Civil Lines, Varanasi, Uttar Pradesh - 221001",919583000000.0,Legal Aid and Human Rights Advocacy,Art Therapist,INR 789.00,Member
36,Ishika Sharma,ishika.sharma56@gmail.com,28 years old,Female,"32, Ram Manohar Lohia Road, Lucknow, Uttar Pradesh - 226001",918925000000.0,Child Sponsorship Program,Photographer,"INR 2,765.00",Member
37,Parth Mehta,parth.mehta21@yahoo.com,25 years old,Male,"53, Kanpur Road, Lucknow, Uttar Pradesh - 226012",918432000000.0,Youth Sports and Recreation,Sports Coach,"INR 9,000.00",Member
38,Aryahi Kapoor,aryahi.kapoor12@gmail.com,23 years old,Female,"29, G.T. Road, Allahabad, Uttar Pradesh - 211003",919264000000.0,Art and Culture Enrichment Program,Historian,"INR 7,654.00",Member
